Date,Open,High,Low,Close,Change(Pips),Change(%)
05/19/2024 00:00,2418.89,2420.3,2416.4,2420.3,141,0.06
05/17/2024 00:00,2378.18,2421.85,2373.6,2414.02,3584,1.48
05/16/2024 00:00,2391.8,2397.26,2370.77,2377.82,-1398,-0.59
05/15/2024 00:00,2355.83,2391.87,2351.84,2391.8,3597,1.5
05/14/2024 00:00,2338.34,2359.68,2334.81,2355.82,1748,0.74
05/13/2024 00:00,2360.38,2364.46,2332.09,2338.43,-2195,-0.94
05/12/2024 00:00,2362.59,2363.05,2359.68,2360.34,-225,-0.1
05/10/2024 00:00,2346.76,2378.32,2346.03,2360.82,1406,0.6
05/09/2024 00:00,2308.72,2348.38,2306.86,2346.53,3781,1.61
05/08/2024 00:00,2315.21,2321.44,2303.77,2308.81,-640,-0.28
05/07/2024 00:00,2327.86,2329.72,2310.08,2315.11,-1275,-0.55
05/06/2024 00:00,2293.74,2331.82,2292.13,2325.64,3190,1.37
05/05/2024 00:00,2302.03,2302.7,2292.9,2293.96,-807,-0.35
05/03/2024 00:00,2304.26,2319.52,2278.5,2301.93,-233,-0.1
05/02/2024 00:00,2324.49,2324.92,2285.63,2303.63,-2086,-0.91
05/01/2024 00:00,2291.98,2327.31,2283.2,2320.41,2843,1.23
04/30/2024 00:00,2333.01,2335.81,2285.26,2289.83,-4318,-1.89
04/29/2024 00:00,2336.56,2346.24,2322.31,2333.06,-350,-0.15
04/28/2024 00:00,2338.42,2338.42,2333.7,2335.82,-260,-0.11
04/26/2024 00:00,2330.7,2351.93,2326.42,2337.48,678,0.29
04/25/2024 00:00,2316.28,2344.47,2307.6,2330.65,1437,0.62
04/24/2024 00:00,2323.32,2336.63,2311.5,2316.3,-702,-0.3
04/23/2024 00:00,2333.17,2334.11,2291.81,2323.58,-959,-0.41
04/22/2024 00:00,2386.84,2386.84,2325.22,2333.39,-5345,-2.29
